"","IL-1","IL-24","IL-29","IL-36","IL-2","IL-4","IL-7","IL-9","IL-10","IL-14","IL-17","IL-19"
"IL-1",0,347.243979245793,306.852802200704,342.180266695455,238.859597431846,364.940713653638,292.176788725902,330.644148537418,318.596848172869,338.949285766998,347.569888059588,312.911100247771
"IL-24",347.243979245793,0,372.596388591012,314.215718662275,334.187393343859,394.998639048967,327.733242687142,352.899223991244,343.584344676336,334.966505647933,320.052697797752,377.067964363132
"IL-29",306.852802200704,372.596388591012,0,368.133864501895,333.124358324182,353.995663119838,337.823385398066,337.004296580791,339.619186439542,348.083002711443,367.085341845316,323.251814391865
"IL-36",342.180266695455,314.215718662275,368.133864501895,0,325.692297630399,385.864276251111,317.250577245745,332.700963513337,355.335668084911,270.902000550187,158.437077406087,377.639045730092
"IL-2",238.859597431846,334.187393343859,333.124358324182,325.692297630399,0,362.825930727131,261.120416275175,323.579593030754,306.735800099842,326.820753103707,340.445124134731,342.480288528718
"IL-4",364.940713653638,394.998639048967,353.995663119838,385.864276251111,362.825930727131,0,344.495417297858,357.322191649379,376.462539092272,366.293650258669,386.736884173088,401.108804642095
"IL-7",292.176788725902,327.733242687142,337.823385398066,317.250577245745,261.120416275175,344.495417297858,0,319.017596334968,329.985570538746,318.654519965003,331.74037726995,362.699463117463
"IL-9",330.644148537418,352.899223991244,337.004296580791,332.700963513337,323.579593030754,357.322191649379,319.017596334968,0,309.955307190414,335.850626496903,337.119785019235,367.234858389889
"IL-10",318.596848172869,343.584344676336,339.619186439542,355.335668084911,306.735800099842,376.462539092272,329.985570538746,309.955307190414,0,348.262239194606,359.601536102029,333.422907474481
"IL-14",338.949285766998,334.966505647933,348.083002711443,270.902000550187,326.820753103707,366.293650258669,318.654519965003,335.850626496903,348.262239194606,0,273.676159965893,376.666488668899
"IL-17",347.569888059588,320.052697797752,367.085341845316,158.437077406087,340.445124134731,386.736884173088,331.74037726995,337.119785019235,359.601536102029,273.676159965893,0,381.914645505567
"IL-19",312.911100247771,377.067964363132,323.251814391865,377.639045730092,342.480288528718,401.108804642095,362.699463117463,367.234858389889,333.422907474481,376.666488668899,381.914645505567,0
