"","IL-1","IL-24","IL-29","IL-36","IL-2","IL-4","IL-7","IL-9","IL-10","IL-14","IL-17","IL-19"
"IL-1",0,423.542205689114,438.882672248518,401.474781275238,336.590255355083,615.383620191503,393.027988825223,533.317916443841,429.678949914934,438.144953183304,399.698636475032,403.923260038339
"IL-24",423.542205689114,0,440.265828789835,349.58832932465,391.237779361861,635.395152641252,355.543246314706,500.265929281617,373.285413591263,405.828781630874,357.453493478522,421.502075914224
"IL-29",438.882672248518,440.265828789835,0,430.411431074966,411.1216365019,620.418407205976,425.383356515038,540.348035991619,461.068324654817,454.404005264038,437.516856818112,434.669989762348
"IL-36",401.474781275238,349.58832932465,430.411431074966,0,371.05120940377,634.276753475957,325.596375901207,497.403256925405,379.336262437432,378.820537985997,273.472119237044,405.053082940989
"IL-2",336.590255355083,391.237779361861,411.1216365019,371.05120940377,0,624.110567127332,350.847545238669,513.806383767271,403.416658059629,435.118374698196,377.011936150568,418.505674991391
"IL-4",615.383620191503,635.395152641252,620.418407205976,634.276753475957,624.110567127332,0,625.418260046827,657.91260817832,636.593276747406,626.624289347293,631.632804721224,624.724739385275
"IL-7",393.027988825223,355.543246314706,425.383356515038,325.596375901207,350.847545238669,625.418260046827,0,489.431302636029,380.713803269595,403.762306314,329.645263882253,409.32505420509
"IL-9",533.317916443841,500.265929281617,540.348035991619,497.403256925405,513.806383767271,657.91260817832,489.431302636029,0,497.252450974352,538.927638927528,503.911698613954,517.136345657506
"IL-10",429.678949914934,373.285413591263,461.068324654817,379.336262437432,403.416658059629,636.593276747406,380.713803269595,497.252450974352,0,419.46513561916,388.029638043281,436.527204192362
"IL-14",438.144953183304,405.828781630874,454.404005264038,378.820537985997,435.118374698196,626.624289347293,403.762306314,538.927638927528,419.46513561916,0,370.904300325569,441.672955930064
"IL-17",399.698636475032,357.453493478522,437.516856818112,273.472119237044,377.011936150568,631.632804721224,329.645263882253,503.911698613954,388.029638043281,370.904300325569,0,413.754758280796
"IL-19",403.923260038339,421.502075914224,434.669989762348,405.053082940989,418.505674991391,624.724739385275,409.32505420509,517.136345657506,436.527204192362,441.672955930064,413.754758280796,0
