"sample","PC1","PC2","PC3"
"IL-24",-58.3829234322892,28.8647937006782,-22.3450394784377
"IL-29",51.6908243415205,-109.801308072906,-3.32829088881116
"IL-36",-106.659064902204,102.668463225948,2.79965546529343
"IL-1",9.06586057462935,-103.63293919008,85.3903242621668
"IL-2",-16.0513999869212,-111.491181910188,51.4025828313685
"IL-4",297.091927697009,107.348820104846,51.0112283461317
"IL-7",-35.4125639774164,-40.2608991472779,13.3073492544363
"IL-9",51.6729712357691,-17.6590298777382,-247.87852306274
"IL-10",-32.9876779133896,-31.2847352652177,-33.1347671531727
"IL-14",-46.1965121009799,124.902605643433,45.1845898258386
"IL-17",-102.307374476633,106.033716694442,11.0165148830145
"IL-19",-11.5240670587624,-55.6883059057292,46.5743757149111
