"clean_window","correlation","p_value","PVE","ZW_norm","abs_ZW","wza_rank","n_SNPs","pve_rank","tier"
"NC_071294.1_0_250000.vcf",-0.474918993804006,0.11871117936176,0.22554805067581,0.947427420035695,0.947427420035695,717,1351,392,NA
"NC_071294.1_1000000_1250000.vcf",-0.520317373597111,0.0828795098829122,0.270730169266995,0.91713501677322,0.91713501677322,751,1649,247,NA
"NC_071294.1_10000000_10250000.vcf",-0.0345614865393502,0.915081657887412,0.00119449635180968,-1.30520946840286,1.30520946840286,355,3594,2056,NA
"NC_071294.1_10125000_10375000.vcf",0.402753017757582,0.194261921158656,0.162209993312839,-0.94845344135308,0.94845344135308,715,3338,858,NA
"NC_071294.1_10250000_10500000.vcf",0.400411814014803,0.197113148757826,0.160329620802625,-1.08688787012119,1.08688787012119,553,3453,874,NA
"NC_071294.1_10375000_10625000.vcf",0.016760350370326,0.958769269936577,0.000280909344536086,-1.31159294419588,1.31159294419588,351,3938,2114,NA
"NC_071294.1_10500000_10750000.vcf",0.0579297835208463,0.858074388733262,0.00335585981877212,-0.930246920266055,0.930246920266055,734,2771,1984,NA
"NC_071294.1_10625000_10875000.vcf",0.0932637246299006,0.773124864613025,0.00869812233184192,-0.78054498456539,0.78054498456539,931,2418,1881,NA
"NC_071294.1_10750000_11000000.vcf",0.169665759678406,0.598079515338608,0.0287864700072506,-0.185832826121306,0.185832826121306,1849,2982,1660,NA
"NC_071294.1_10875000_11125000.vcf",-0.548865124146119,0.0645895481558786,0.301252924503935,0.416556145199155,0.416556145199155,1482,3159,202,NA
"NC_071294.1_11000000_11250000.vcf",-0.47311424668434,0.120315957494868,0.223837090415691,0.354123395296702,0.354123395296702,1577,2202,402,NA
"NC_071294.1_11125000_11375000.vcf",-0.403437213747075,0.193433502059046,0.162761585436003,-1.61411810534075,1.61411810534075,197,1943,855,NA
"NC_071294.1_1125000_1375000.vcf",0.539317965334745,0.0703599498285076,0.290863867732809,1.76316510228124,1.76316510228124,151,1547,219,NA
"NC_071294.1_11250000_11500000.vcf",0.0467353026782964,0.885321629095277,0.00218418851643198,-1.6211676846609,1.6211676846609,196,3121,2018,NA
