"clean_window","correlation","p_value","PVE","ZW_norm","abs_ZW","wza_rank","n_SNPs","pve_rank","tier"
"NC_071295.1_6750000_7000000.vcf",0.850307779138357,0.000457827323965074,0.723023319263205,3.40833871417437,3.40833871417437,14,1693,1,"Top 1% (both)"
"NC_071295.1_6000000_6250000.vcf",0.831470685558838,0.000800896466961826,0.691343500943683,7.93661462689959,7.93661462689959,1,765,2,"Top 1% (both)"
"NC_071295.1_7625000_7875000.vcf",0.830123138179415,0.00083143505470061,0.68910442454084,2.94158794891437,2.94158794891437,23,2345,3,"Top 2% (both)"
"NC_071295.1_5875000_6125000.vcf",0.816186148800595,0.00120292708863125,0.666159829493947,6.14411232486548,6.14411232486548,2,1254,5,"Top 1% (both)"
"NC_071315.1_4125000_4375000.vcf",-0.809797916649404,0.00141074914754898,0.655772665809716,2.75958430723474,2.75958430723474,31,3719,6,"Top 2% (both)"
"NC_071315.1_5250000_5500000.vcf",-0.805878701402879,0.00155124743374895,0.649440481374791,2.74142968767296,2.74142968767296,33,3988,8,"Top 2% (both)"
"NC_071295.1_6625000_6875000.vcf",0.796070917963891,0.00195000816945437,0.633728906427872,4.67554626822691,4.67554626822691,6,1280,9,"Top 1% (both)"
"NC_071295.1_5750000_6000000.vcf",0.795359732916203,0.00198170225119279,0.632597104744533,3.30925375333285,3.30925375333285,17,1451,10,"Top 1% (both)"
"NC_071306.1_7375000_7625000.vcf",0.793995376897614,0.00204360736392054,0.630428658534784,5.2729477802234,5.2729477802234,4,766,11,"Top 1% (both)"
"NC_071306.1_7125000_7375000.vcf",0.792063827807755,0.00213376498670475,0.627365107321473,4.57536802539369,4.57536802539369,7,1323,12,"Top 1% (both)"
"NC_071306.1_7250000_7500000.vcf",0.792022341267149,0.0021357342104693,0.627299389066296,4.0783167126671,4.0783167126671,10,1154,13,"Top 1% (both)"
"NC_071306.1_7000000_7250000.vcf",0.791625356677885,0.00215464806031931,0.626670705335389,5.4207594783283,5.4207594783283,3,1114,14,"Top 1% (both)"
"NC_071295.1_6875000_7125000.vcf",0.76150561465558,0.00400627565305822,0.579890801151973,3.02265975723781,3.02265975723781,19,1733,17,"Top 1% (both)"
"NC_071295.1_6125000_6375000.vcf",0.758334074952446,0.00425504230265771,0.575070569233982,5.16785220573567,5.16785220573567,5,946,18,"Top 1% (both)"
"NC_071315.1_4000000_4250000.vcf",-0.735807539324208,0.00637401247482874,0.541412734926345,2.62370676982287,2.62370676982287,39,3672,22,"Top 2% (both)"
"NC_071298.1_7625000_7875000.vcf",0.730608601833321,0.00695901710501829,0.53378892907284,2.60305938262209,2.60305938262209,41,1075,24,"Top 2% (both)"
"NC_071306.1_6125000_6375000.vcf",0.729734328305266,0.00706121863129412,0.532512189907137,2.93226898758006,2.93226898758006,24,1107,25,"Top 2% (both)"
"NC_071298.1_8250000_8500000.vcf",0.717414744851329,0.00862431920268212,0.514683916130097,2.66860205093389,2.66860205093389,36,726,27,"Top 2% (both)"
"NC_071295.1_7500000_7750000.vcf",0.685385561922625,0.0138921753192469,0.469753368491992,2.62039581831282,2.62039581831282,40,1894,42,"Top 2% (both)"
"NC_071312.1_4000000_4250000.vcf",0.683233687291156,0.0143154828924515,0.466808271449469,3.49375058237436,3.49375058237436,13,2107,43,"Top 2% (both)"
"NC_071312.1_4125000_4375000.vcf",0.683062326524696,0.0143495964502757,0.466574141917331,3.02965445372951,3.02965445372951,18,2128,44,"Top 2% (both)"
